Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Book Title,Series Name,Series Number
209080212,The Long Walk,Richard  Bachman,"Bachman, Richard",Stephen        King,"=""""","=""""",3,4.04,Scribner,Kindle Edition,319.0,2016,1978.0,2025/09/10,2025/03/11,,,read,1,0,The Long Walk,,
40045986,The Last Letter,Rebecca Yarros,"Yarros, Rebecca",,"=""1640635335""","=""9781640635333""",4,4.49,Entangled: Amara,Paperback,426.0,2019,2019.0,2025/08/30,2025/08/26,,,read,1,0,The Last Letter,,
200982373,Don't Let the Forest In,C.G. Drews,"Drews, C.G.",,"=""1250895669""","=""9781250895660""",0,4.09,Feiwel & Friends,Hardcover,336.0,2024,2024.0,,2025/08/28,to-read,to-read (#255),to-read,0,0,Don't Let the Forest In,,
222697645,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135210""","=""9780593135211""",5,4.5,Ballantine Books,Kindle Edition,482.0,2021,2021.0,2025/08/28,2024/06/13,,,read,1,0,Project Hail Mary,,
222853872,The Fallen and the Kiss of Dusk,Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",5,4.04,,Kindle Edition,638.0,2025,2025.0,2025/08/25,2025/08/20,,,read,1,0,The Fallen and the Kiss of Dusk,Crowns of Nyaxia,4
221228062,House of the Beast,Michelle  Wong,"Wong, Michelle",,"=""0063446251""","=""9780063446250""",0,3.97,Harper Voyager,Hardcover,464.0,2025,2025.0,,2025/08/22,to-read,to-read (#254),to-read,0,0,House of the Beast,,
220161171,Fearful,Lauren  Roberts,"Roberts, Lauren",,"=""166597107X""","=""9781665971072""",0,3.43,Simon & Schuster Books for Young Readers,Hardcover,224.0,2025,2025.0,,2025/08/21,to-read,to-read (#253),to-read,0,0,Fearful,The Powerless Trilogy,3.5
210134467,The Songbird & the Heart of Stone,Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",5,4.07,Bramble Romance,Kindle Edition,498.0,2024,2024.0,2025/08/20,2025/08/10,,,read,1,0,The Songbird & the Heart of Stone,Crowns of Nyaxia,3
56791389,Dungeon Crawler Carl,Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.49,Dandy House,Kindle Edition,446.0,2020,2020.0,,2025/08/19,to-read,to-read (#252),to-read,0,0,Dungeon Crawler Carl,Dungeon Crawler Carl,1
209823382,Tell Me What You Did,Carter   Wilson,"Wilson, Carter",,"=""1464226229""","=""9781464226229""",0,3.73,Poisoned Pen Press,Paperback,420.0,2025,2025.0,,2025/08/15,to-read,to-read (#251),to-read,0,0,Tell Me What You Did,,
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",0,4.06,Knopf,Hardcover,259.0,2022,2022.0,,2025/08/11,to-read,to-read (#250),to-read,0,0,Sea of Tranquility,,
239937277,The Lion and the Deathless Dark,Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.31,,Kindle Edition,,2026,,,2025/08/11,to-read,to-read (#249),to-read,0,0,The Lion and the Deathless Dark,Crowns of Nyaxia,5
123368729,Slaying the Vampire Conqueror,Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",5,4.11,Amazon Digital Services,Kindle Edition,369.0,2023,2023.0,2025/08/10,2025/08/04,,,read,1,0,Slaying the Vampire Conqueror,,
37004370,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""1101870605""","=""9781101870600""",0,3.7,Pantheon,Hardcover,274.0,2019,1994.0,,2025/08/08,to-read,to-read (#248),to-read,0,0,The Memory Police,,
217245572,Silver Elite,Dani Francis,"Francis, Dani",,"=""059387546X""","=""9780593875469""",0,4.1,Del Rey,Hardcover,516.0,2025,,,2025/08/08,to-read,to-read (#247),to-read,0,0,Silver Elite,Silver Elite,1
27189194,One True Loves,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",0,4.02,Washington Square Press,Kindle Edition,352.0,2016,2016.0,,2025/08/05,to-read,to-read (#246),to-read,0,0,One True Loves,,
62335396,The Ashes & the Star-Cursed King,Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",5,4.08,,Kindle Edition,626.0,2023,2023.0,2025/08/04,2025/07/28,,,read,1,0,The Ashes & the Star-Cursed King,Crowns of Nyaxia,2
