Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50892288,The Hollow Places,T. Kingfisher,"Kingfisher, T.",,"=""1534451129""","=""9781534451124""",0,3.79,Gallery Books,Paperback,341,2020,2020,,2025/02/17,to-read,to-read (#164),to-read,,,,0,0
127305713,"Heartless Hunter (The Crimson Moth, #1)",Kristen Ciccarelli,"Ciccarelli, Kristen",,"=""1250866901""","=""9781250866905""",0,4.18,Wednesday Books,Hardcover,406,2024,2024,,2025/02/17,to-read,to-read (#163),to-read,,,,0,0
50663055,Elder Race,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1250768721""","=""9781250768728""",0,4.09,Tordotcom,Paperback,199,2021,2021,,2025/02/16,to-read,to-read (#162),to-read,,,,0,0
57748116,"Satan's Affair (Cat and Mouse, #0.5)",H.D. Carlton,"Carlton, H.D.",,"=""""","=""""",3,3.71,Independently Published,Kindle Edition,197,2021,2021,2025/02/16,2025/02/16,,,read,,,,1,0
59023378,"Wool (Silo Trilogy, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",4,4.23,John Joseph Adams/Houghton Mifflin Harcourt,ebook,584,2020,2012,2025/02/14,2024/01/29,,,read,,,,1,0
1934,"Little Women (Little Women, #1)",Louisa May Alcott,"Alcott, Louisa May","Marta Fihel, Grzegorz Komerski, Regina Barreca","=""""","=""""",0,4.17,Signet Classics,Mass Market Paperback,449,2004,1868,,2025/02/11,to-read,to-read (#161),to-read,,,,0,0
26892110,The Library at Mount Char,Scott  Hawkins,"Hawkins, Scott",,"=""0553418629""","=""9780553418620""",0,4.06,Crown,Paperback,390,2016,2015,,2025/02/10,to-read,to-read (#160),to-read,,,,0,0
34311452,"Year One (Chronicles of The One, #1)",Nora Roberts,"Roberts, Nora",,"=""1250122953""","=""9781250122957""",0,4.06,St. Martin's Press,Hardcover,419,2017,2017,,2025/02/07,to-read,to-read (#159),to-read,,,,0,0
56179338,"All of Us Villains (All of Us Villains, #1)",Amanda Foody,"Foody, Amanda",C.L. Herman,"=""1250789257""","=""9781250789259""",0,3.85,Tor Teen,Hardcover,400,2021,2021,,2025/02/07,to-read,to-read (#158),to-read,,,,0,0
20613761,Citizen: An American Lyric,Claudia Rankine,"Rankine, Claudia",,"=""1555976905""","=""9781555976903""",0,4.25,Graywolf Press,Paperback,169,2014,2014,,2025/02/06,to-read,to-read (#157),to-read,,,,0,0
