Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Book Title,Series Name,Series Number,Genre
28759,Magic's Pawn,Mercedes Lackey,"Lackey, Mercedes",,"=""0886773520""","=""9780886773526""",0,4.2,DAW Books Inc,Mass Market Paperback,349.0,1989,1989.0,,2025/03/20,to-read,to-read (#188),to-read,0,0,Magic's Pawn,The Last Herald-Mage,1.0,Fantasy
60811826,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline","Ros Schwartz, Sophie Mackintosh","=""1945492600""","=""9781945492600""",0,4.13,Transit Books,Paperback,184.0,2022,1995.0,,2025/03/19,to-read,to-read (#187),to-read,0,0,I Who Have Never Known Men,,,Fiction
38180,On the Beach,Nevil Shute,"Shute, Nevil",,"=""""","=""""",0,3.98,House of Stratus Ltd,Paperback,296.0,2002,1957.0,,2025/03/19,to-read,to-read (#186),to-read,0,0,On the Beach,,,Post‑Apocalyptic Fiction
6148028,Catching Fire,Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",5,4.35,Scholastic Press,Hardcover,391.0,2009,2009.0,2025/03/10,2024/02/01,,,read,2,0,Catching Fire,The Hunger Games,2.0,Large type books
59070304,Citadel,C.M. Alongi,"Alongi, C.M.",,"=""""","=""9798200836420""",0,4.34,Blackstone Publishing,Hardcover,350.0,2023,2023.0,,2025/03/13,to-read,to-read (#185),to-read,0,0,Citadel,,,Fiction
64246349,To Kill a Necromancer,C.M. Alongi,"Alongi, C.M.",,"=""""","=""""",0,4.46,,Kindle Edition,88.0,2023,,,2025/03/13,to-read,to-read (#184),to-read,0,0,To Kill a Necromancer,Blackwing,1.0,Fantasy
38393457,"Break The Bodies, Haunt The Bones",Micah Dean Hicks,"Hicks, Micah Dean",,"=""1328566455""","=""9781328566454""",0,3.62,Harper Voyager,Hardcover,304.0,2019,2019.0,,2025/03/12,to-read,to-read (#183),to-read,0,0,"Break The Bodies, Haunt The Bones",,,Fiction
2767052,The Hunger Games,Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",5,4.35,Scholastic Press,Hardcover,374.0,2008,2008.0,2025/03/05,2024/02/01,,,read,2,0,The Hunger Games,The Hunger Games,1.0,Juvenile Fiction
63910262,Two Twisted Crowns,Rachel Gillig,"Gillig, Rachel",,"=""0356519503""","=""9780356519500""",5,4.4,Orbit,Paperback,437.0,2023,2023.0,2025/03/10,2025/03/05,,,read,1,0,Two Twisted Crowns,The Shepherd King,2.0,Fiction
6693658,The Divine Farce,Michael S.A. Graziano,"Graziano, Michael S.A.",,"=""1935248049""","=""9781935248040""",0,4.18,Leapfrog Press,Paperback,128.0,2009,2009.0,,2025/03/08,to-read,to-read (#182),to-read,0,0,The Divine Farce,,,Fiction
29914932,Windows into Hell,James Wymore,"Wymore, James","Michaelbrent Collings, Mette Ivie Harrison, Jay Wilburn, Tonya Adolfson, R.A. Baxter, D.J. Butler, Sarah E Seeley, Steven L. Peck","=""1620071606""","=""9781620071601""",0,3.61,Curiosity Quills Press,Paperback,264.0,2016,2016.0,,2025/03/06,to-read,to-read (#181),to-read,0,0,Windows into Hell,,,Horror
172366,The Library of Babel,Jorge Luis Borges,"Borges, Jorge Luis","Erik Desmazieres, Andrew Hurley, Angela Giral","=""156792123X""","=""9781567921236""",0,4.3,David R Godine Pub,Hardcover,176.0,2000,1941.0,,2025/03/06,to-read,to-read (#180),to-read,0,0,The Library of Babel,,,Fiction
341735,Replay,Ken Grimwood,"Grimwood, Ken",,"=""068816112X""","=""9780688161125""",0,4.15,William Morrow Paperbacks,Paperback,311.0,1998,1987.0,,2025/03/06,to-read,to-read (#179),to-read,0,0,Replay,,,Fiction
13456414,A Short Stay in Hell,Steven L. Peck,"Peck, Steven L.",,"=""098374842X""","=""9780983748427""",5,4.17,Strange Violin Editions,Paperback,104.0,2012,2011.0,2025/03/06,2024/04/12,,,read,1,0,A Short Stay in Hell,,,Fiction
45892228,Crave,Tracy Wolff,"Wolff, Tracy",,"=""1640638954""","=""9781640638952""",0,3.77,Entangled: Teen,Hardcover,575.0,2020,2020.0,,2025/03/06,to-read,to-read (#178),to-read,0,0,Crave,Crave,1.0,Young Adult Fiction
205335957,The Knight and the Moth,Rachel Gillig,"Gillig, Rachel",,"=""0356522962""","=""9780356522968""",0,4.32,Orbit,Hardcover,385.0,2025,2025.0,,2025/03/05,to-read,to-read (#177),to-read,0,0,The Knight and the Moth,The Stonewater Kingdom,1.0,Fiction
58340706,One Dark Window,Rachel Gillig,"Gillig, Rachel",,"=""0316312487""","=""9780316312486""",5,4.27,Orbit,Paperback,432.0,2022,2022.0,2025/03/05,2024/04/01,,,read,1,0,One Dark Window,The Shepherd King,1.0,Fiction
17855756,Dust,Hugh Howey,"Howey, Hugh",,"=""1490904387""","=""9781490904382""",5,4.23,Broad Reach Publishing,Paperback,458.0,2013,2013.0,2025/03/02,2024/01/29,,,read,1,0,Dust,Silo,3.0,"Civilization, Subterranean"
40874032,Vicious,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""""","=""""",0,4.19,Tor Books,Kindle Edition,402.0,2013,2013.0,,2025/02/28,to-read,to-read (#176),to-read,0,0,Vicious,Villains,1.0,Fantasy
201017011,Lights Out,Navessa Allen,"Allen, Navessa",,"=""""","=""""",0,4.12,,Kindle Edition,338.0,2024,2024.0,,2025/02/27,to-read,to-read (#175),to-read,0,0,Lights Out,Into Darkness,1.0,Fantasy
